PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27926832","PyMOL and Inkscape Bridge the Data and the Data Visualization","Yuan S, Chan HCS, Filipek S, Vogel H.","Structure. 2016 Dec 6;24(12):2041-2042. doi: 10.1016/j.str.2016.11.012.","Yuan S","Structure","2016","2016/12/08","","","10.1016/j.str.2016.11.012"
"26294520","Proposal for SVG2DOT: -  An Interoperable Tactile Graphics Creation System Using SVG outputs from Inkscape","Minatani K.","Stud Health Technol Inform. 2015;217:506-11.","Minatani K","Stud Health Technol Inform","2015","2015/08/22","","",""
"33922692","Two-Dimensional Analysis of Digital Images through Vector Graphic Editors in Dentistry: New Calibration and Analysis Protocol Based on a Scoping Review","Rodríguez-López S, Escobedo Martínez MF, Junquera L, García-Pola M.","Int J Environ Res Public Health. 2021 Apr 23;18(9):4497. doi: 10.3390/ijerph18094497.","Rodríguez-López S","Int J Environ Res Public Health","2021","2021/04/30","PMC8122989","","10.3390/ijerph18094497"
"27875164","Iterating between Tools to Create and Edit Visualizations","Bigelow A, Drucker S, Fisher D, Meyer M.","IEEE Trans Vis Comput Graph. 2017 Jan;23(1):481-490. doi: 10.1109/TVCG.2016.2598609.","Bigelow A","IEEE Trans Vis Comput Graph","2017","2016/11/23","","","10.1109/TVCG.2016.2598609"
"37189199","Molecular characteristics of clinical IMP-producing Klebsiella pneumoniae isolates: novel IMP-90 and integron In2147","Yang L, Zhang G, Zhao Q, Guo L, Yang J.","Ann Clin Microbiol Antimicrob. 2023 May 15;22(1):38. doi: 10.1186/s12941-023-00588-w.","Yang L","Ann Clin Microbiol Antimicrob","2023","2023/05/15","PMC10186765","","10.1186/s12941-023-00588-w"
"21205310","R2R--software to speed the depiction of aesthetic consensus RNA secondary structures","Weinberg Z, Breaker RR.","BMC Bioinformatics. 2011 Jan 4;12:3. doi: 10.1186/1471-2105-12-3.","Weinberg Z","BMC Bioinformatics","2011","2011/01/06","PMC3023696","","10.1186/1471-2105-12-3"
"36850585","Research Regarding Different Types of Headlights on Selected Passenger Vehicles when Using Sensor-Related Equipment","Vrabel J, Stopka O, Palo J, Stopkova M, Droździel P, Michalsky M.","Sensors (Basel). 2023 Feb 10;23(4):1978. doi: 10.3390/s23041978.","Vrabel J","Sensors (Basel)","2023","2023/02/28","PMC9959406","","10.3390/s23041978"
"31148035","From Data to Illustrations: Common (Free) Tools for Proper Image Data Handling and Processing","Cvrčková F.","Methods Mol Biol. 2019;1992:121-133. doi: 10.1007/978-1-4939-9469-4_8.","Cvrčková F","Methods Mol Biol","2019","2019/06/01","","","10.1007/978-1-4939-9469-4_8"
"20878220","Accuracy of epicardial electroanatomic mapping and ablation of sustained ventricular tachycardia merged with heart CT scan in chronic Chagasic cardiomyopathy","Valdigem BP, da Silva NJ, Dietrich CO, Moreira D, Sasdelli R, Pinto IM, Cirenza C, de Paola AA.","J Interv Card Electrophysiol. 2010 Nov;29(2):119-25. doi: 10.1007/s10840-010-9513-5. Epub 2010 Sep 28.","Valdigem BP","J Interv Card Electrophysiol","2010","2010/09/30","","","10.1007/s10840-010-9513-5"
"33086855","Implementation and use of whole genome sequencing (WGS) in the surveillance of invasive pneumococcal disease, Czech Republic, 2017-2019","Kozáková J, Honskus M, Okonji Z.","Epidemiol Mikrobiol Imunol. 2020 Summer;69(3):134-141.","Kozáková J","Epidemiol Mikrobiol Imunol","2020","2020/10/22","","",""
"38502521","The ectopic mandibular canines can start tooth formation in three different locations: a case series study based on single orthopantomograms from 47 individuals","Svanholt P, Svanholt M, Thomsen J, Kjær I.","Eur Arch Paediatr Dent. 2024 Apr;25(2):191-199. doi: 10.1007/s40368-024-00865-y. Epub 2024 Mar 19.","Svanholt P","Eur Arch Paediatr Dent","2024","2024/03/19","PMC11058765","","10.1007/s40368-024-00865-y"
"28447225","Functional Interplay Between the Putative Measures of Rostral and Caudal Efferent Regulation of Speech Perception in Noise","Maruthy S, Kumar UA, Gnanateja GN.","J Assoc Res Otolaryngol. 2017 Aug;18(4):635-648. doi: 10.1007/s10162-017-0623-y. Epub 2017 Apr 26.","Maruthy S","J Assoc Res Otolaryngol","2017","2017/04/28","PMC5532183","","10.1007/s10162-017-0623-y"
